key	value
work_work-order_account_attributes	账户属性
work_work-order_account	账户
work_work-order_business_number	商业号
work_work-order_account_attributes_1	账号属性
work_work-order_time_zone	所属时区
work_work-order_original_business_number	原商业号
work_work-order_target_business_number	目标商业号
work_work-order_process_information	处理信息
work_work-order_copy	复件
work_work-order_process_nodes	流程节点
work_work-order_service_provider	服务商
work_work-order_platform	平台
work_work-order_operate	操作
work_work-order_time	时间
work_work-order_processing_results	处理结果
work_work-order_processed	已处理
work_work-order_platform_confirmation_results	平台确认结果
work_work-order_delivery_time	交付时间
work_work-order_platform_confirmation_time	平台确认时间
work_work-order_number_of_data_entries_on_the_curr	当前页数据条数
work_work-order_current_page_number	当前页码
work_work-order_total_number_of_articles	总条数
work_work-order_view_picture	查看图片
work_work-order_get_details	获取详情
work_work-order_paging	分页
work_work-order_monitor_page_number_switching	监听页码切换
work_work-order_processing_account_type_display	处理账户类型回显示
work_work-order_regional_feedback	地区回显
work_work-order_feedback	回显
work_work-order_change_binding	换绑
work_work-order_unbind	解绑
work_work-order_binding	绑定
work_work-order_time_zone_display	时区回显
work_work-order_status_display	状态回显示
work_work-order_pending_processing	待处理
work_work-order_to_be_confirmed_by_the_platform	待平台确认
work_work-order_platform_not_approved	平台不通过
work_work-order_closed	已关闭
work_work-order_unknown_state	未知状态
work_work-order_node_return	节点返回
work_work-order_left_line_of_title	标题左侧线条
work_work-order_handle	处理
work_work-order_form	表单
work_work-order_transaction_serial_number	交易流水号
work_work-order_please_enter_the_transaction_seria	请输入交易流水号
work_work-order_the_maximum_number_of_images_canno	图片最多不能超过
work_work-order_fix	张
work_work-order_use_button_style_for_first_upload	首次上传时使用按钮样式
work_work-order_click_to_upload	点击上传
work_work-order_support	支持
work_work-order_single_file_not_exceeding	单文件不超过
work_work-order_up_to	最多不超过
work_work-order_please_enter_the_content	请输入内容
work_work-order_cancel	取消
work_work-order_sure	确定
work_work-order_serial_number	流水号
work_work-order_please_enter_the_correct_transacti	请输入正确的交易流水号
work_work-order_basic_information	基本信息
work_work-order_order_no	订单号
work_work-order_describe	描述
work_work-order_attachment	附件
work_work-order_recharge_information	充值信息
work_work-order_recharge_amount	充值金额
work_work-order_time_zone_1	时区
work_work-order_view_details	查看详情
work_work-order_table_data	表格数据
work_work-order_header_data	表头数据
work_work-order_recharge_order_number	充值订单编号
work_work-order_account_type_1	账户类型
work_work-order_reason_for_not_passing	不通过原因
work_work-order_add_sorting_function	添加排序功能
work_work-order_completion_time	完成时间
work_work-order_combined_data	组合数据
work_work-order_the_status_of_this_work_order_has_	此工单状态已改变
work_work-order_list	列表
work_work-order_unable_to_process	无法处理
work_work-order_unable_to_deliver	无法交付
work_work-order_please_enter_the_reason_for_the_in	请输入无法交付原因
work_work-order_get_input_value	获取输入值
work_work-order_display_error_message	显示错误提示
work_work-order_please_provide_the_reason_for_the_	请填写无法交付原因
work_work-order_prevent_pop_up_windows_from_closin	阻止弹窗关闭
work_work-order_verification_passed_allowing_closi	验证通过，允许关闭弹窗
work_work-order_cancel_operation_and_close_directl	取消操作直接关闭
work_work-order_error	错误
work_work-order_listening_table_sorting	监听表格排序
work_work-order_update_sorting_fields_and_order	更新排序字段和顺序
work_work-order_sort_field	排序字段
work_work-order_reset_page_number_to_first_page	重置页码为第一页
work_work-order_reload_data	重新加载数据
work_work-order_attachment_view	附件查看
work_work-order_switch_to_recharge_eastern_order_f	切换充值东单筛选
work_work-order_search_for	搜索
work_work-order_obtain_composite_data	获取组合数据
work_work-order_menu_switching	菜单切换
work_work-order_data_overview	数据概览
work_work-order_query	查询
work_work-order_please_enter_the_recharge_order_nu	请输入充值订单号
work_work-order_table	表格
work_work-order_recharge_work_order	充值工单
work_work-order_process_work_orders	处理工单
work_work-order_all	全部
work_work-order_account_balance	账号余额
work_work-order_cut_header	切表头
work_work-order_dynamic_switching_of_header	动态切换表头
work_work-order_if_there_are_header_items	如果表头项有
work_work-order_attribute_according_to	属性，则根据
work_work-order_determine_whether_to_display	判断是否显示
work_work-order_top_menu_switch	顶部菜单切换
work_work-order_update_the_currently_selected	更新当前选中的
work_work-order_list_menu_switching	列表菜单切换
work_work-order_individualization	单独处理
work_work-order_input_box_search	输入框搜索
work_work-order_filter_data_from_recharge_work_ord	充值工单过来的筛选数据
